X[s],R TRICEPS BRACHII: EMG 6,X[s],R TRICEPS BRACHII: EMG 6->filter (FilterSlidingRMS27)
0.3795882,-9.40E-06,0.3795882,1.69E-05
0.3803824,-1.06E-05,0.3803824,1.69E-05
0.3811765,-4.36E-06,0.3811765,1.69E-05
0.3819706,7.89E-06,0.3819706,1.68E-05
0.3827647,1.46E-05,0.3827647,1.66E-05
0.3835588,1.23E-05,0.3835588,1.63E-05
0.3843529,1.44E-05,0.3843529,1.60E-05
0.3851471,1.59E-05,0.3851471,1.59E-05
0.3859412,1.59E-05,0.3859412,1.59E-05
0.3867353,1.59E-05,0.3867353,1.58E-05
0.3875294,1.51E-06,0.3875294,1.58E-05
0.3883235,-1.41E-05,0.3883235,1.58E-05
0.3891176,-1.63E-05,0.3891176,1.58E-05
0.3899118,-1.43E-05,0.3899118,1.58E-05
0.3907059,-2.00E-05,0.3907059,1.58E-05
0.3915,-2.33E-05,0.3915,1.59E-05
0.3922941,-2.89E-05,0.3922941,1.59E-05
0.3930882,-2.47E-05,0.3930882,1.60E-05
0.3938823,-1.91E-05,0.3938823,1.60E-05
0.3946765,-1.04E-05,0.3946765,1.60E-05
0.3954706,-6.21E-06,0.3954706,1.60E-05
0.3962647,-4.20E-06,0.3962647,1.60E-05
0.3970588,-1.85E-06,0.3970588,1.60E-05
0.3978529,-4.36E-06,0.3978529,1.60E-05
0.398647,-9.40E-06,0.398647,1.60E-05
0.3994412,-4.87E-06,0.3994412,1.59E-05
0.4002353,-5.04E-07,0.4002353,1.58E-05
0.4010294,-4.70E-06,0.4010294,1.58E-05
0.4018235,-4.20E-06,0.4018235,1.58E-05
0.4026176,-1.85E-06,0.4026176,1.58E-05
0.4034117,-4.20E-06,0.4034117,1.58E-05
0.4042059,-7.22E-06,0.4042059,1.56E-05
0.405,-1.06E-05,0.405,1.56E-05
0.4057941,-1.28E-05,0.4057941,1.56E-05
0.4065882,-6.21E-06,0.4065882,1.56E-05
0.4073823,-7.05E-06,0.4073823,1.56E-05
0.4081765,-4.87E-06,0.4081765,1.56E-05
0.4089706,-1.17E-05,0.4089706,1.56E-05
0.4097647,-3.44E-05,0.4097647,1.56E-05
0.4105588,-4.20E-05,0.4105588,1.56E-05
0.4113529,-1.80E-05,0.4113529,1.58E-05
0.412147,-6.21E-06,0.412147,1.58E-05
0.4129412,-5.87E-06,0.4129412,1.58E-05
0.4137353,-5.54E-06,0.4137353,1.58E-05
0.4145294,-5.54E-06,0.4145294,1.58E-05
0.4153235,-1.19E-05,0.4153235,1.58E-05
0.4161176,-2.74E-05,0.4161176,1.58E-05
0.4169118,-2.70E-05,0.4169118,1.58E-05
0.4177059,-2.45E-05,0.4177059,1.57E-05
0.4185,-1.56E-05,0.4185,1.57E-05
0.4192941,-5.04E-06,0.4192941,1.57E-05
0.4200882,-1.85E-06,0.4200882,1.57E-05
0.4208823,-9.90E-06,0.4208823,1.56E-05
0.4216765,-3.52E-06,0.4216765,1.55E-05
0.4224706,1.34E-05,0.4224706,1.54E-05
0.4232647,2.27E-05,0.4232647,1.53E-05
0.4240588,2.10E-05,0.4240588,1.53E-05
0.4248529,1.91E-05,0.4248529,1.53E-05
0.4256471,1.53E-05,0.4256471,1.53E-05
0.4264412,1.26E-05,0.4264412,1.54E-05
0.4272353,3.19E-06,0.4272353,1.54E-05
0.4280294,-1.12E-05,0.4280294,1.54E-05
0.4288235,-1.90E-05,0.4288235,1.54E-05
0.4296176,-1.23E-05,0.4296176,1.54E-05
0.4304118,-2.85E-06,0.4304118,1.54E-05
0.4312059,-3.52E-06,0.4312059,1.54E-05
0.432,-5.71E-06,0.432,1.54E-05
0.4327941,-1.23E-05,0.4327941,1.54E-05
0.4335882,-1.83E-05,0.4335882,1.54E-05
0.4343823,-1.49E-05,0.4343823,1.54E-05
0.4351765,-8.39E-06,0.4351765,1.54E-05
0.4359706,-2.35E-06,0.4359706,1.55E-05
0.4367647,-4.87E-06,0.4367647,1.55E-05
