X[s],"R BICEPS BRACHII: EMG 5",X[s],"R BICEPS BRACHII: EMG 5->filter (FilterSlidingRMS21)"
0.2239412,-3.20592E-05,0.2239412,0
0.2247353,-3.474479E-05,0.2247353,0
0.2255294,-3.23949E-05,0.2255294,0
0.2263235,-2.484169E-05,0.2263235,0
0.2271176,-1.560998E-05,0.2271176,0
0.2279118,-3.524834E-06,0.2279118,0
0.2287059,5.203327E-06,0.2287059,0
0.2295,7.049668E-06,0.2295,0
0.2302941,6.54612E-06,0.2302941,0
0.2310882,7.049668E-06,0.2310882,0
0.2318823,-1.846342E-06,0.2318823,0
0.2326765,-1.225299E-05,0.2326765,0
0.2334706,-1.829557E-05,0.2334706,0
0.2342647,-1.661708E-05,0.2342647,0
0.2350588,-1.107805E-05,0.2350588,0
0.2358529,-5.706874E-06,0.2358529,0
0.2366471,-4.531929E-06,0.2366471,0
0.2374412,-7.721065E-06,0.2374412,0
0.2382353,-1.376364E-05,0.2382353,0
0.2390294,-1.460288E-05,0.2390294,0
0.2398235,-1.695277E-05,0.2398235,0
0.2406176,-1.795987E-05,0.2406176,0
0.2414118,-2.333104E-05,0.2414118,0
0.2422059,-3.30663E-05,0.2422059,0
0.243,-5.38796E-05,0.243,0
0.2437941,-8.610666E-05,0.2437941,0
0.2445882,-0.0001168231,0.2445882,0
0.2453824,-0.0001079271,0.2453824,0
0.2461765,-4.448005E-05,0.2461765,0
0.2469706,3.675899E-05,0.2469706,0
0.2477647,0.000111284,0.2477647,0
0.2485588,0.0001341115,0.2485588,0
0.2493529,0.0001149767,0.2493529,2.993456E-05
0.250147,7.167162E-05,0.250147,3.06297E-05
0.2509412,3.021286E-05,0.2509412,3.089559E-05
0.2517353,1.326009E-05,0.2517353,3.094261E-05
0.2525294,6.210422E-06,0.2525294,3.095165E-05
0.2533235,-1.997406E-05,0.2533235,3.095364E-05
0.2541176,-3.692683E-05,0.2541176,3.097415E-05
0.2549118,-2.752728E-05,0.2549118,3.104418E-05
0.2557059,-1.963836E-05,0.2557059,3.108302E-05
0.2565,-6.54612E-06,0.2565,3.110277E-05
0.2572941,8.224612E-06,0.2572941,3.110496E-05
0.2580882,1.678492E-05,0.2580882,3.110843E-05
0.2588823,6.54612E-06,0.2588823,3.112284E-05
0.2596765,-5.539025E-06,0.2596765,3.112504E-05
0.2604706,-1.745632E-05,0.2604706,3.11266E-05
0.2612647,-2.937362E-05,0.2612647,3.114219E-05
0.2620588,-4.129091E-05,0.2620588,3.118628E-05
0.2628529,-4.095522E-05,0.2628529,3.127321E-05
0.263647,-3.642328E-05,0.263647,3.13585E-05
0.2644412,-4.045167E-05,0.2644412,3.142579E-05
0.2652353,-4.817273E-05,0.2652353,3.15086E-05
0.2660294,-4.783703E-05,0.2660294,3.162566E-05
0.2668235,-4.850843E-05,0.2668235,3.174067E-05
0.2676176,-5.203327E-05,0.2676176,3.18585E-05
0.2684118,-4.682994E-05,0.2684118,3.199354E-05
0.2692059,-2.316319E-05,0.2692059,3.21025E-05
0.27,-9.231709E-06,0.27,3.21291E-05
0.2707941,-1.678492E-07,0.2707941,3.213332E-05
0.2715882,5.371176E-06,0.2715882,3.213333E-05
0.2723823,7.721065E-06,0.2723823,3.213476E-05
0.2731765,1.426719E-05,0.2731765,3.213771E-05
0.2739706,1.242084E-05,0.2739706,3.21478E-05
0.2747647,1.510643E-06,0.2747647,3.215544E-05
0.2755588,-7.888914E-06,0.2755588,3.215555E-05
0.2763529,-6.713969E-06,0.2763529,3.215863E-05
0.2771471,-2.517739E-06,0.2771471,3.216086E-05
0.2779412,1.007095E-06,0.2779412,3.216118E-05
0.2787353,6.54612E-06,0.2787353,3.216123E-05
0.2795294,1.05745E-05,0.2795294,3.216335E-05
0.2803235,1.09102E-05,0.2803235,3.216889E-05
0.2811176,1.678492E-05,0.2811176,3.217478E-05
0.2819118,1.393149E-05,0.2819118,3.218872E-05
0.2827059,6.54612E-06,0.2827059,3.219832E-05
0.2835,6.54612E-06,0.2835,3.220044E-05
0.2842941,2.517739E-06,0.2842941,3.220256E-05
0.2850882,-8.560311E-06,0.2850882,3.220287E-05
0.2858824,-1.493858E-05,0.2858824,3.220649E-05
0.2866765,-1.829557E-05,0.2866765,3.221753E-05
0.2874706,-1.577783E-05,0.2874706,3.223406E-05
0.2882647,-1.258869E-05,0.2882647,3.224636E-05
0.2890588,-1.258869E-05,0.2890588,3.225419E-05
0.2898529,-1.359579E-05,0.2898529,3.226201E-05
0.2906471,-1.426719E-05,0.2906471,3.227113E-05
0.2914412,-1.426719E-05,0.2914412,3.228117E-05
0.2922353,-1.393149E-05,0.2922353,3.229121E-05
0.2930294,-1.292439E-05,0.2930294,3.230078E-05
0.2938235,-1.762417E-05,0.2938235,3.230902E-05
0.2946177,-1.863127E-05,0.2946177,3.232432E-05
0.2954118,-1.997406E-05,0.2954118,3.234142E-05
0.2962059,-2.232395E-05,0.2962059,3.236105E-05
0.297,-2.232395E-05,0.297,3.238556E-05
0.2977941,-1.19173E-05,0.2977941,3.241005E-05
0.2985882,-8.728161E-06,0.2985882,3.241703E-05
0.2993824,-1.09102E-05,0.2993824,3.242078E-05
0.3001765,-1.527428E-05,0.3001765,3.242662E-05
0.3009706,-2.349889E-05,0.3009706,3.243807E-05
0.3017647,-2.786297E-05,0.3017647,3.246517E-05
0.3025588,-2.165255E-05,0.3025588,3.250323E-05
0.3033529,-3.692683E-06,0.3033529,3.252619E-05
0.3041471,7.888914E-06,0.3041471,3.252686E-05
0.3049412,1.594568E-05,0.3049412,3.25299E-05
0.3057353,1.829557E-05,0.3057353,3.254235E-05
0.3065294,2.450599E-05,0.3065294,3.255872E-05
0.3073235,2.719158E-05,0.3073235,3.258808E-05
0.3081176,2.098116E-05,0.3081176,3.262419E-05
0.3089118,1.309224E-05,0.3089118,3.264567E-05
0.3097059,-3.524834E-06,0.3097059,3.265402E-05
0.3105,-2.064546E-05,0.3105,3.265463E-05
0.3112941,-2.870222E-05,0.3112941,3.267541E-05
0.3120882,-2.400244E-05,0.3120882,3.271553E-05
0.3128823,-2.131685E-05,0.3128823,3.274356E-05
0.3136765,-3.474479E-05,0.3136765,3.276565E-05
0.3144706,-4.985122E-05,0.3144706,3.282427E-05
0.3152647,-7.167162E-05,0.3152647,3.29446E-05
0.3160588,-9.181353E-05,0.3160588,3.319196E-05
0.3168529,-9.416342E-05,0.3168529,3.359394E-05
0.317647,-5.606165E-05,0.317647,3.401162E-05
0.3184412,2.366674E-05,0.3184412,3.415845E-05
0.3192353,0.0001085985,0.3192353,3.418455E-05
0.3200294,0.0001589532,0.3200294,3.472957E-05
0.3208235,0.0001663386,0.3208235,3.586932E-05
0.3216176,0.0001223621,0.3216176,3.707728E-05
0.3224117,5.48867E-05,0.3224117,3.771482E-05
0.3232059,1.19173E-05,0.3232059,3.78418E-05
0.324,-1.863127E-05,0.324,3.784777E-05
0.3247941,-4.179446E-05,0.3247941,3.786238E-05
0.3255882,-4.951553E-05,0.3255882,3.793577E-05
0.3263823,-4.011597E-05,0.3263823,3.803854E-05
0.3271765,-4.213016E-05,0.3271765,3.810585E-05
0.3279706,-4.951553E-05,0.3279706,3.817995E-05
0.3287647,-4.800488E-05,0.3287647,3.828207E-05
0.3295588,-4.414435E-05,0.3295588,3.837781E-05
0.3303529,-3.743038E-05,0.3303529,3.845858E-05
0.331147,-3.524834E-05,0.331147,3.851654E-05
0.3319412,-2.635233E-05,0.3319412,3.856787E-05
0.3327353,-1.661708E-05,0.3327353,3.859654E-05
0.3335294,-1.309224E-05,0.3335294,3.860793E-05
0.3343235,-1.05745E-05,0.3343235,3.861499E-05
0.3351176,-7.553216E-06,0.3351176,3.86196E-05
0.3359118,-1.661708E-05,0.3359118,3.862196E-05
0.3367059,-2.534523E-05,0.3367059,3.863334E-05
0.3375,-2.903792E-05,0.3375,3.865981E-05
0.3382941,-3.642328E-05,0.3382941,3.869452E-05
0.3390882,-4.246586E-05,0.3390882,3.874908E-05
0.3398823,-4.515145E-05,0.3398823,3.882312E-05
0.3406765,-4.313725E-05,0.3406765,3.890664E-05
0.3414706,-3.558404E-05,0.3414706,3.898273E-05
0.3422647,-2.920577E-05,0.3422647,3.903441E-05
0.3430588,-3.172351E-05,0.3430588,3.90692E-05
0.3438529,-3.30663E-05,0.3438529,3.911019E-05
0.344647,-3.20592E-05,0.344647,3.914753E-05
0.3454412,-2.635233E-05,0.3454412,3.918906E-05
0.3462353,-4.36408E-06,0.3462353,3.921587E-05
0.3470294,1.963836E-05,0.3470294,3.921499E-05
0.3478235,3.776608E-05,0.3478235,3.923064E-05
0.3486176,4.548714E-05,0.3486176,3.928844E-05
0.3494118,3.910887E-05,0.3494118,3.93722E-05
0.3502059,4.145876E-05,0.3502059,3.942921E-05
0.351,4.850843E-05,0.351,3.947906E-05
0.3517941,4.901198E-05,0.3517941,3.952712E-05
0.3525882,4.548714E-05,0.3525882,3.956172E-05
0.3533823,3.27306E-05,0.3533823,3.962549E-05
0.3541765,1.745632E-05,0.3541765,3.966776E-05
0.3549706,8.392462E-07,0.3549706,3.966776E-05
0.3557647,-1.762417E-05,0.3557647,3.965961E-05
0.3565588,-2.836652E-05,0.3565588,3.966878E-05
0.3573529,-3.37377E-05,0.3573529,3.970102E-05
0.3581471,-3.440909E-05,0.3581471,3.974244E-05
0.3589412,-3.508049E-05,0.3589412,3.978281E-05
0.3597353,-3.474479E-05,0.3597353,3.981555E-05
0.3605294,-2.618448E-05,0.3605294,3.981831E-05
0.3613235,-2.131685E-05,0.3613235,3.978969E-05
0.3621176,-2.24918E-05,0.3621176,3.977412E-05
0.3629118,-9.231709E-06,0.3629118,3.97465E-05
0.3637059,8.224612E-06,0.3637059,3.965489E-05
0.3645,1.05745E-05,0.3645,3.952739E-05
0.3652941,6.54612E-06,0.3652941,3.945918E-05
0.3660882,4.867628E-06,0.3660882,3.945722E-05
0.3668824,2.18204E-06,0.3668824,3.94305E-05
0.3676765,-4.867628E-06,0.3676765,3.935071E-05
0.3684706,-1.15816E-05,0.3684706,3.929595E-05
0.3692647,-1.879912E-05,0.3692647,3.926641E-05
0.3700588,-2.702373E-05,0.3700588,3.921654E-05
0.3708529,-2.920577E-05,0.3708529,3.915452E-05
0.3716471,-2.652018E-05,0.3716471,3.911114E-05
0.3724412,-2.366674E-05,0.3724412,3.907749E-05
0.3732353,-2.131685E-05,0.3732353,3.906515E-05
0.3740294,-2.18204E-05,0.3740294,3.907538E-05
0.3748235,-1.829557E-05,0.3748235,3.909475E-05
0.3756177,-1.359579E-05,0.3756177,3.910754E-05
0.3764118,-7.888914E-06,0.3764118,3.911295E-05
0.3772059,-5.706874E-06,0.3772059,3.910378E-05
0.378,-4.196231E-06,0.378,3.907154E-05
0.3787941,-3.524834E-06,0.3787941,3.903788E-05
0.3795882,-3.524834E-06,0.3795882,3.901148E-05
0.3803824,-3.189136E-06,0.3803824,3.89622E-05
0.3811765,-7.217518E-06,0.3811765,3.889174E-05
0.3819706,-1.12459E-05,0.3819706,3.87807E-05
0.3827647,-1.510643E-05,0.3827647,3.856438E-05
0.3835588,-1.09102E-05,0.3835588,3.821648E-05
0.3843529,-9.903105E-06,0.3843529,3.767317E-05
0.3851471,-1.628138E-05,0.3851471,3.714703E-05
0.3859412,-1.795987E-05,0.3859412,3.699453E-05
0.3867353,-1.560998E-05,0.3867353,3.700447E-05
0.3875294,-1.359579E-05,0.3875294,3.660355E-05
0.3883235,-1.661708E-05,0.3883235,3.558011E-05
0.3891176,-2.064546E-05,0.3891176,3.438355E-05
0.3899118,-2.568093E-05,0.3899118,3.361301E-05
0.3907059,-1.225299E-05,0.3907059,3.341823E-05
0.3915,2.853437E-06,0.3915,3.340854E-05
0.3922941,1.15816E-05,0.3922941,3.340656E-05
0.3930882,6.881819E-06,0.3930882,3.338884E-05
0.3938823,-8.392462E-07,0.3938823,3.331933E-05
0.3946765,-6.713969E-06,0.3946765,3.326812E-05
0.3954706,-1.09102E-05,0.3954706,3.320905E-05
0.3962647,-7.217518E-06,0.3962647,3.311394E-05
0.3970588,1.426719E-05,0.3970588,3.299994E-05
0.3978529,3.743038E-05,0.3978529,3.293073E-05
0.398647,4.061952E-05,0.398647,3.296047E-05
0.3994412,3.189136E-05,0.3994412,3.299206E-05
0.4002353,2.920577E-05,0.4002353,3.297413E-05
0.4010294,6.378271E-06,0.4010294,3.292751E-05
0.4018235,-2.467384E-05,0.4018235,3.287869E-05
0.4026176,-3.508049E-05,0.4026176,3.290008E-05
0.4034117,-2.500954E-05,0.4034117,3.295959E-05
0.4042059,6.042573E-06,0.4042059,3.29893E-05
0.405,2.433814E-05,0.405,3.298664E-05
0.4057941,1.393149E-05,0.4057941,3.301183E-05
0.4065882,-2.517739E-06,0.4065882,3.302112E-05
0.4073823,-2.299535E-05,0.4073823,3.301843E-05
0.4081765,-3.843748E-05,0.4081765,3.303996E-05
0.4089706,-3.944457E-05,0.4089706,3.310482E-05
0.4097647,-4.380865E-05,0.4097647,3.317454E-05
0.4105588,-4.917983E-05,0.4105588,3.325536E-05
0.4113529,-4.884413E-05,0.4113529,3.335257E-05
0.412147,-4.481575E-05,0.412147,3.34357E-05
